Asset,Timeframe,Date,Price,EMA21,ATR,RSI,RSI_Z_Score,ATR_Distance,Pct_Above_EMA,High,Low,Volume,Unnamed: 10,Unnamed: 11,Unnamed: 12
RIOY,1d,2026-09-09,7.677499771118164,7.450307635461636,0.346207596841892,50.469251081296,1.543014960470528,0.6562309369550999,3.049432946569206,8.4975004196167,8.4975004196167,19.0,7.677499771118164,7.677499771118164,4.0
RIOY,1w,2026-09-07,7.677499771118164,9.67894355825378,1.271077301097793,46.22653772416028,,-1.5746043025133294,-20.678328942510174,9.282500267028809,0.0,1838.0,7.677499771118164,7.428750038146973,4.0
RSR,1d,2026-09-10,0.001388999982737005,0.001384719728776235,8.295439168372287e-05,51.44395104079385,-0.884241159825291,0.05159767763820228,0.3091061585836315,0.0012143988860771,0.0011908903252333,3864227.0,0.001525392173789442,0.001372595550492406,12311664.0
RSR,1w,2026-09-07,0.0014440000522881,0.001515958045533,0.0002942215768766,43.73124843415962,1.719342289244118,-0.2445707551728339,-4.746700837592126,0.0012629999546334,0.0011908903252333,21525224.0,0.0014603257877752,0.0014127674512565,3950819.0
RTY,1d,2026-09-09,2921.239990234375,2978.698163849377,31.19603005043106,39.88222534993852,-1.469197261432589,-1.841842488358809,-1.9289693166073874,2996.280029296875,2963.510009765625,5365300000.0,2952.610107421875,2918.889892578125,4896940000.0
RTY,1w,2026-09-07,2960.20361328125,2908.508060969695,83.74585344923631,58.40817282755188,-1.899406131968919,0.6172908888305829,1.7773907181236952,2998.179931640625,2947.239990234375,24175160000.0,2975.47998046875,2958.64501953125,4966930000.0
SCP,1d,2026-09-10,0.019229,0.0205334449652529,0.001968614478925526,45.23342898521501,-0.556152042760548,-0.6626208326806928,-6.352781851561234,0.014459,0.013266,933.1724846670312,0.019813,0.019074,1882.007220634538
SCP,1w,2026-09-07,0.020858,0.0205369734213087,0.0079601979183337,49.42181032271927,0.5034823075164339,0.0403289694533652,1.563164016943854,0.015606,0.013234,10921.606720718595,0.021899,0.019085,1762.735294710112
SEI,1d,2026-09-10,0.04549999907612801,0.04662462835543386,0.002532744902896047,47.78288010932253,-1.88276130630048,-0.4440357487324902,-2.412092747919512,0.0477125942707061,0.046601265668869,29906248.0,0.04738548770546913,0.04515162855386734,47112040.0
SEI,1w,2026-09-07,0.049780000001192,0.055206757519835,0.0102023532800319,41.16605774754392,1.80255420000823,-0.5319123313700768,-9.829879098936718,0.0493410006165504,0.0468779988586902,88430108.0,0.0506283529102802,0.0483108460903167,46511212.0
